"NBa7we src","d4r55","RfnDt","eaLgGf","hCCjke","rsqaWe","wiI7pd","w8nwRe","dSlJg","Hzvxle","pkWtMe","dSlJg 2","znYl0","uEubGf","bC3Nkc"
"https://lh3.googleusercontent.com/a-/ALV-UjXbJfSuMx3lV6w9C2RnM9FRqhhlG82nCqSmwKXr7Jo9JRc=w54-h54-p-rp-mo-ba4-br100","Mustafizur Rahman","Local Guide · 128 reviews · 128 photos","","","5 years ago","This campus is mainly for administrative work of the university... Totally looks like British emperor. You would feel like you are in a British period...","","","","","","Share","",""
"https://lh3.googleusercontent.com/a-/ALV-UjV_AekLvf8lGtTn_OMeW87weYkbFak2uLTjetiYPdd7DA=w54-h54-p-rp-mo-br100","vijay k","13 reviews · 1 photo","","","a year ago","Good campus

The architecture and style of the buildings attracts you to stay here for a long …","More","","","","","Share","",""
"https://lh3.googleusercontent.com/a-/ALV-UjUdT5TeQiWI7X6mR4ExyON-cQtmNl9ihc2vwtZYNZYsDMo4=w54-h54-p-rp-mo-ba5-br100","Parthasarathy Iyengar","Local Guide · 349 reviews · 208 photos","","","a year ago","I totally agree with people who say ‘Poor Management & Staff very egoistic and attitude. On top of everything, they do not have courtesy to respond to your calls once their job is done. I am chasing for my payment and the FAO and his Staff …","More","","Like","4","","Share","",""
"https://lh3.googleusercontent.com/a-/ALV-UjUgEud_l5CQXJ4tWEb0QmuL8F-3j1Y6HRf8zSwN5BgW7xU=w54-h54-p-rp-mo-br100","Daab","9 reviews","","","3 years ago","1- Website provides outdated details.. Please update your details on website time to time. It becomes quite inconvenient for students staying far to come and visit on daily basis. …","More","","Like","15","","Share","",""
"https://lh3.googleusercontent.com/a/ACg8ocIy6i-2eRb7ISLIw61Eqjx22udJPG9DMVMmSsIIi8nT=w54-h54-p-rp-mo-ba2-br100","khusboo singh","Local Guide · 16 reviews","","","a year ago","The university of Mumbai is premier university of India..creating with knowledge and greatly a privileged to lead this great and beautiful institute...","","","","","","Share","",""
"https://lh3.googleusercontent.com/a-/ALV-UjXpEAetBRKI2b_C_qqcRCB4oK1x5tpBv3sSvSxrjBjxC4E=w54-h54-p-rp-mo-br100","Hardik Jain","6 reviews","","","a year ago","St Xavier's College is probably the only reason why the students who reside outside Maharashtra apply for Mumbai University.... Rest of the colleges ain't even notable","","","","","","Share","",""
"https://lh3.googleusercontent.com/a-/ALV-UjViYtLVlkaYo8oGCDTLBZoJzzZGXOj5OyAhOFxZK6BuckM=w54-h54-p-rp-mo-ba5-br100","Yadav chandrabhan","Local Guide · 110 reviews · 731 photos","","","4 years ago","British time building and then University founded on 18 July 1857","","","","","","Share","",""
"https://lh3.googleusercontent.com/a/ACg8ocIjON6V5bdhnGnzmsdOVkbNfKHoGUKuBr5xHTl4dWr8=w54-h54-p-rp-mo-br100","Viraj Patil","21 reviews","","","a year ago","University of Mumbai is great for all Graduation and Post Graduation Education, it provides various types of education needed for Employment in Market","","","","","","Share","",""
"https://lh3.googleusercontent.com/a-/ALV-UjUKCoVqOvMVL_-Md1IgfC8axrULRoJClaXm0QmhVzSWnYs=w54-h54-p-rp-mo-ba3-br100","Shailesh Patel","Local Guide · 26 reviews · 6 photos","","","a month ago","One of the top universities in India !!!","","","","","","Share","",""
"https://lh3.googleusercontent.com/a/ACg8ocIP-l2w0QWRjl15W4n-E9yLNXasu9d9tThSOv3-EYDHQA=w54-h54-p-rp-mo-br100","D Ashok Kumar","10 reviews · 4 photos","","","a year ago","Good campus

The architecture and style of the buildings attracts you to stay here for a long …","More","","","","","Share","",""
"https://lh3.googleusercontent.com/a/ACg8ocJ0Pv7uLlvtGtxEWdVdFmVt2zt6dXvvAr70wTpSSV2pEQ=w54-h54-p-rp-mo-ba5-br100","Rekha Rajesh","Local Guide · 275 reviews · 833 photos","","","2 years ago","What a place, every student who have been there are so lucky","","","Like","1","","Share","",""
"https://lh3.googleusercontent.com/a-/ALV-UjXTRD4PYypOrvKgMKbuCObMWDFbDUk9egqp75hcKRHAkx80=w54-h54-p-rp-mo-ba2-br100","Rahul Powar","Local Guide · 14 reviews · 5 photos","","","10 months ago","Tomorrow’s my KT exam and yet still they have not submitted Revaluation Result.
That’s Mumbai University for you!!🙏🏻 …","","","Like","3","","Share","",""
"https://lh3.googleusercontent.com/a/ACg8ocIVDgwJYC53AsuX-58XwCU9q2CdpK9znUJOkw62rgDS=w54-h54-p-rp-mo-br100","Ashwini Mulik","10 reviews · 10 photos","","","3 years ago","University staff is really co-operative. They provide very good guidance. They do their duties diligently and go beyond level to support students and help them in their problems. They daily face critical and complex student cases but they …","More","","Like","2","","Share","",""
"https://lh3.googleusercontent.com/a-/ALV-UjX6eMFZOtLg4c9oBZg5zXj73rkx581qn1BtTRn9HRj3-DE=w54-h54-p-rp-mo-ba3-br100","Muthukrishnan Santanam","Local Guide · 22 reviews","","","a year ago","The University of Mumbai, informally known as Mumbai University (MU) is a collegiate public state university located in Mumbai, Maharashtra. It offers bachelors, masters and Doctoral courses, as well as diplomas and certificates","","","","","","Share","",""
"https://lh3.googleusercontent.com/a-/ALV-UjXhZdEwe2galMfP5CyNgDAoyMYN-USFlTicfWinNWeDDNM=w54-h54-p-rp-mo-br100","CA CS Tarun Gupta","20 reviews","","","a year ago","The professors are highly educated, quality of education provided is also very good. The course structure is also knowledgeable and futuristic.","","","","","","Share","",""
"https://lh3.googleusercontent.com/a-/ALV-UjXNYZQAunIMQGpXWN4U43puy6qec4ZEtxx9GOCsSncva_k=w54-h54-p-rp-mo-br100","Ravind Verma","15 reviews · 1 photo","","","a year ago","Mumbai university has managed to gain a  place in the list of top 100 institutes published by NIRF.","","","Like","1","","Share","",""
"https://lh3.googleusercontent.com/a-/ALV-UjXfq17lUN6tTT-UT1DZ0g2YysOHyjFcNib7IWmj4H_eODw=w54-h54-p-rp-mo-ba5-br100","Allan Banis","Local Guide · 108 reviews · 621 photos","","","5 years ago","Mumbai University (MU) is a big campus and it's beautiful too . Many courses are available here . Degree of education is top notch. Just the staff seems a bit sloppy. Transport could be a huge issue if you don't know your way around the campus . A huge issue if I may .","","","Like","6","","Share","",""
"https://lh3.googleusercontent.com/a-/ALV-UjUilgSBVyXEwsFibbNHH4P7PNiD4iph1-QogSDHn6LaEl0=w54-h54-p-rp-mo-ba4-br100","Aazib Khot","Local Guide · 132 reviews · 169 photos","","","6 years ago","Bad management. Worst education in college which is affiliated to Mumbai university. Rules are not good.
Like …","More","","Like","46","","Share","",""
"https://lh3.googleusercontent.com/a-/ALV-UjWE7lMNibwxgYmHQvDkwc_Mj7N0GB8z5fthy-lWnoIzYnYH=w54-h54-p-rp-mo-ba3-br100","Sohan Solanki","Local Guide · 22 reviews · 4 photos","","","4 years ago","The place is good enough for the students who visit here on a daily basis to hangout without having to go outside due to the vast infrastructure.
However the staff in all the departments acts like a typical government …","More","","Like","5","","Share","",""
"https://lh3.googleusercontent.com/a-/ALV-UjVCqqGdPmdNfo4srtqejZN-Z7LG1QPF23QtfEYtWRKdxPU=w54-h54-p-rp-mo-ba5-br100","Deepesh Kashyap","Local Guide · 295 reviews","","","6 years ago","Really disgusting management. Staff full of attitude, I don't know for what?. They take their own time, and then also don't do work properly or I should say any work. They don't value time. Students come from far places, are in waiting then …","More","","Like","118","","Share","",""
"https://lh3.googleusercontent.com/a-/ALV-UjUKKGMkNrZiZ8SYLQT3Pq_7RJYwzIsxM36Y_0ZB8vbiJtc=w54-h54-p-rp-mo-ba4-br100","Snehal Valivadekar","Local Guide · 95 reviews · 80 photos","","","6 years ago","Big Campus. But very bad staff. Of course they have so much work to do, but the staff doesn't co-operate with you. Besides, You have a grief and you visit University, Man I guarantee your grieves will get redressed.... No. It doesn't get …","More","","Like","19","","Share","",""
"https://lh3.googleusercontent.com/a-/ALV-UjU5bngF3e5H7ntl1RnLxP3iq4cy4RWVPElNSMlebntGTYQT=w54-h54-p-rp-mo-ba4-br100","Lokesh Tardalkar","Local Guide · 107 reviews · 257 photos","","","a year ago","Heritage Value , Great Legacy , Spacious & Clean Space.","","","","","","Share","",""
"https://lh3.googleusercontent.com/a-/ALV-UjUX24E2Or7--h0ZdkARS4n9RRNxPVCimtszogz4WA-pkoQ=w54-h54-p-rp-mo-ba5-br100","Javed Sayed","Local Guide · 126 reviews · 791 photos","","","3 years ago","One of the top place in Mumbai people visit in Daily basis specially tourist must visit","","","","","","Share","",""
"https://lh3.googleusercontent.com/a-/ALV-UjVfCMfB5Dqx2cf8eW5yx1E0VKfnREgIJjfSVoEAuwfxAtQ=w54-h54-p-rp-mo-ba3-br100","Tahir Shaikh","Local Guide · 50 reviews · 17 photos","","","a year ago","It's a just name Mumbai University given, But A to Z all things are made by British Gov.. (well Structured)","","","Like","1","","Share","",""
"https://lh3.googleusercontent.com/a-/ALV-UjWRbkf_fzqg3q1uh5PNfid8umH3k56wPfAIN9bP8wOEWVo=w54-h54-p-rp-mo-ba2-br100","J DORA","Local Guide · 5 reviews · 30 photos","","","a year ago","Great experience of Mumbai University tour. The architecture and style of the buildings fascinates and attracts you to stay there for few hours.","","","","","","Share","",""
"https://lh3.googleusercontent.com/a/ACg8ocLJbs4XTLqFztGl3_Lj-QkLGTgiO9n6NkOQ_3hGi0GO=w54-h54-p-rp-mo-br100","Arwa Madraswala","30 reviews","","","a year ago","One of the oldest and most reputed universities. Good infrastructure and facilities for students to excel.","","","","","","Share","",""
"https://lh3.googleusercontent.com/a/ACg8ocIsS6cPXT_JfPijQf6ZWSDpoNQ5xODu2Hc9d70hS02-=w54-h54-p-rp-mo-ba2-br100","kiran h","Local Guide · 18 reviews · 1 photo","","","4 years ago","One of the worst experience ever. The Mumbai university still runs by paper work and sign and stamps and one the most user unfriendly university ever.  The whole world is getting digital except our lovely Mumbai university. There is nothing …","More","","Like","25","","Share","",""
"https://lh3.googleusercontent.com/a-/ALV-UjVK16QsQ3spez1J3AjXMXwgAG2HFywih738ebrpf6qdXYQG=w54-h54-p-rp-mo-ba3-br100","PRIYANKA PATIL","Local Guide · 27 reviews · 41 photos","","","4 years ago","what should i say about this university 🎓. vast place..  you can spend much more time here in big surrounding trees. Background is so cool,  nice. …","More","","Like","13","","Share","",""
"https://lh3.googleusercontent.com/a-/ALV-UjUNNGcllDBM5bRGiGpjlpIz2qhwmb0FWTu34wwZ7os0HpM=w54-h54-p-rp-mo-ba4-br100","pratik daphal","Local Guide · 20 reviews · 207 photos","","","6 years ago","A variety of courses are available here. This is a very cool place to hang around. Along with education you  get a piece of mind here as there are all trees on both side of the roads..... That make you feel fresh and calm.... Hostel …","More","","Like","4","","Share","",""
"https://lh3.googleusercontent.com/a-/ALV-UjV5_G0EH-o2L9IDjBLty2Z3puFgfMcuvKNIREe4aA1qFxc=w54-h54-p-rp-mo-br100","Zamar Shaikh","4 reviews","","","2 years ago","I am very disappointed on myself over the fact that I chose Mumbai university to pursue my bachelors degree,
I passed my BMS in the year 2020 …","More","","Like","11","","Share","",""
"https://lh3.googleusercontent.com/a-/ALV-UjVxG5-CEsDdOgapyl6LBucpa9neO3otIDgf-WBBmHuefOId=w54-h54-p-rp-mo-ba5-br100","Rakshith Ramesh","Local Guide · 109 reviews · 1,037 photos","","","a year ago","The University of Mumbai is a collegiate, state-owned, public research university in Mumbai. It is one of the oldest educational institutes in the city, dating back to the British Bombay era.","","","Like","2","","Share","",""
"https://lh3.googleusercontent.com/a-/ALV-UjUChT6sYaXBmVi_-_qwpx1QW9tpQqJdmTUd8ulCg_82dSk=w54-h54-p-rp-mo-br100","Shashank Jain","11 reviews","","","a year ago","It is one of the oldest universities and it is the heart of Maharashtrians. Will recommend everyone to study here.","","","","","","Share","",""
"https://lh3.googleusercontent.com/a-/ALV-UjXs-2aGdEvAj5bhfb20uLJYAnwXVq2ITrFNFKEa9EZ66gr0=w54-h54-p-rp-mo-ba6-br100","Yashraj Ahir","Local Guide · 182 reviews · 3,515 photos","","","6 years ago","Need variety of short and long term courses. The Campus is quite huge but isn't quite well equipped for such a large area. There are many courses available in the Mumbai University but except for the main stream courses, others are not well …","More","","Like","1","","Share","",""
"https://lh3.googleusercontent.com/a-/ALV-UjVjJWp1LRRQ5kWlGKywWwxb-O_oboLigAQDi3yhQNbMwGQ=w54-h54-p-rp-mo-br100","Jagruti Bodha","2 reviews","","","3 months ago","They never update about any exams or test","","","Like","1","","Share","",""
"https://lh3.googleusercontent.com/a-/ALV-UjW4kdCWs8c9e4RPPo2WVTLXx7KDpcg2vj9bNYaUCd6nPnre=w54-h54-p-rp-mo-br100","anshul mishra","5 reviews","","","2 years ago","trash staff, really pathetic and useless. do not help you at all and only want to waste time by passing their work from one staff to the other. been waiting from two months to collect my marksheet. would rate them lower if i could. take my …","More","","Like","7","","Share","",""
"https://lh3.googleusercontent.com/a/ACg8ocJIInnYZN0g_rCHQEiBzZpaB045cDtxVK6FGiAiMu4NNPg=w54-h54-p-rp-mo-ba6-br100","P S","Local Guide · 339 reviews · 993 photos","","","4 years ago","Though it seems to be an inappropriate place to be associated with for higher studies... it is RESPONSIBLE for shaping the future of many students/ professionals/ teachers in Mumbai/India and all over the world. Defintely, most of the …","More","","Like","3","","Share","",""
"https://lh3.googleusercontent.com/a-/ALV-UjVKZto4pC61gEE5lixsiEfQqhXJkvUYXhlc_lfshJ1oedtO=w54-h54-p-rp-mo-br100","Anjali M","9 reviews · 1 photo","","","2 years ago","Worst University. No wonder your ranking is #71 lmfao neeche se first aane k kaand karoge toh yehi hoga. Minsiter ko toh youth hi vote deke neeche layegi. You all are a different case of downfall for youth","","","Like","4","","Share","",""
"https://lh3.googleusercontent.com/a-/ALV-UjU900DFeobmbLI-m7izYKfeLQvWk4hzv66N2_ZWFiZ6_A=w54-h54-p-rp-mo-ba5-br100","Avanin Bhonsle","Local Guide · 207 reviews · 36 photos","","","2 years ago","Situated at Fort in Mumbai. This is a huge landmark. The original Mumbai University was established in Fort area of Mumbai. However, as time passed a new campus was required and that led to the establishment of a bigger campus in Mumbai, Santa Cruz East inbthe western suburbs of the city.","","","Like","1","","Share","",""
"https://lh3.googleusercontent.com/a-/ALV-UjWxiTqm1FXYax8A000I9v0rVvvSQe26vLXBjErQGdD3PnI=w54-h54-p-rp-mo-br100","swaminathan iyer","5 reviews","","","7 years ago","Fantastic university for the aspiring graduates and post graduates in economics. For Phd also it is very good.  But for doing refresher. / orientation courses in different subjects for the teachers  the academic staff college is very strict …","More","","Like","1","","Share","",""
"https://lh3.googleusercontent.com/a/ACg8ocIniZ7WAHh7RABsTdmrakTDCQb8MKi9LwOZhfWtskbc=w54-h54-p-rp-mo-br100","Karan Sharma","1 review","","","a year ago","Worst university ever,they just want money through rechecking form and reassessment forms,they aur looting public,they are checking anwer sheets after getting high on w**d,the worst thing in the world is this university and the people working there","","","","","","Share","",""
"https://lh3.googleusercontent.com/a-/ALV-UjU2sWkaRae_r27JDu91guBHlHJNo56hLRXhsEHyvTu-AuHz=w54-h54-p-rp-mo-ba5-br100","Kapil","Local Guide · 167 reviews · 1,040 photos","","","6 years ago","The place is good in terms of the space and the environment, building are very specifically architectured according to different departments need. The place has a really goof ambience. The only problem with this university is the Lazyness …","More","","Like","6","","Share","",""
"https://lh3.googleusercontent.com/a/ACg8ocIJovjhsDLtiKfX1c0b5HRnVribkBKPypjT2kac3-p30Q=w54-h54-p-rp-mo-ba3-br100","Nishant Sonkusare","Local Guide · 12 reviews","","","5 years ago","I'm only giving one star because the option of giving zero stars is not available. This is the worst university ever. Please do not do any courses from this university as it only does the job of ruining the lives of thousands of students …","More","","Like","14","","Share","",""
"https://lh3.googleusercontent.com/a-/ALV-UjV5GAUl7ea0iAWZ_Dk7s1eWBsRLP8fEbLozMJLNdJewtlA=w54-h54-p-rp-mo-ba2-br100","Ashwini Kumar","Local Guide · 11 reviews","","","a year ago","Good place to study

The University of Mumbai is one of the oldest and premier Universities of India","","","","","","Share","",""
"https://lh3.googleusercontent.com/a/ACg8ocJo219YXfrT3Rv2n7tQ-x9Dbvp5ZarNT6fxnN4udr0d=w54-h54-p-rp-mo-br100","Parshuram Thombare","6 reviews","","","3 years ago","I don't know about university from academics perspective, but administration is really pathetic. No one ever reply to your calls, except of course finance department. You can't even get simple things done by personally visiting the …","More","","Like","4","","Share","",""
"https://lh3.googleusercontent.com/a-/ALV-UjVQIzx99TP9KX0rbesy3M4MIDms8jnHARLgSvrpD-c089Q=w54-h54-p-rp-mo-ba3-br100","Vinay Bhaskar Chandratre","Local Guide · 39 reviews","","","6 years ago","Don't expect any official to pickup official phone and answer. MU just pays telephone bills at the cost of students fees.  Absolutely pathetic administration staff at kalina and CST campus.  Fail to understand why MU needs OCR checking …","More","","Like","18","","Share","",""
"https://lh3.googleusercontent.com/a-/ALV-UjU3C5dF108mX42UnvtIWO2QHZfY7m3BrDVasaLpq1OLoQ=w54-h54-p-rp-mo-br100","Kreena Balsekar","10 reviews · 3 photos","","","7 years ago","irresponsible staff members.i have three contact numbers none of them is been answered yet plus online admission is a painful task due to faulty site. mu.ac.in/idol admission site does not function well. some or the other problem has to pop …","More","","Like","20","","Share","",""
"https://lh3.googleusercontent.com/a-/ALV-UjXEgij4E-fPx1NM-wNKkABjiLJgogAZfVVUz3fRMozeoOo=w54-h54-p-rp-mo-ba2-br100","Sagar Desai (The Sagar Desai)","Local Guide · 23 reviews","","","6 years ago","This is the worst university of India. Don't expect 5 star experience here. Everyone has degree here but zero knowledge. They don't have clue about anything. Just tons of paper work. Earning hundreds of crore and doing nothing for student. …","More","","Like","10","","Share","",""
"https://lh3.googleusercontent.com/a/ACg8ocIO7rfhCmJjs__YYATlRTSGCsQ4jC5T8QU3_A7lJ7WS=w54-h54-p-rp-mo-br100","vranda garg","5 reviews","","","8 months ago","College has nice infrastructure ans is equipped with right instruments. Nice atmosphere","","","","","","Share","",""
"https://lh3.googleusercontent.com/a-/ALV-UjVlzVFXJSrnusq1S1yJ2YD49UPN79IqUu9fCew0Uyx6H00=w54-h54-p-rp-mo-ba4-br100","priyanka sonawane","Local Guide · 73 reviews · 103 photos","","","5 years ago","Mumbai university, main campus located at fort. Various courses available at university. One can get all information from either this campus or the other campus of university. Staff is very helpful and cooperative. This can be easily reached by Churchgate and CSMT station. The university tower is an iconic building of Mumbai.","","","Like","2","","Share","",""
"https://lh3.googleusercontent.com/a/ACg8ocLsqAs8bvvAc1vJVX1X2zbXDF69KS9LHs6FQcMP6c7JCh4=w54-h54-p-rp-mo-ba2-br100","Giriraj Jadeja","Local Guide · 8 reviews · 25 photos","","","5 years ago","I think they love seeing students around them as they won't let you finish any of your work in 2 visits. You must visit MU at least thrice to get your work done. The best part is whenever you go you'll find the person you're seeking is on …","More","","Like","19","","Share","",""
"https://lh3.googleusercontent.com/a/ACg8ocL_Uraw2AlwuleEF_IOsH4BQnPmjZ1hP3jntt1H46wK=w54-h54-p-rp-mo-ba3-br100","Rajeev Moghe","Local Guide · 46 reviews · 1 photo","","","5 years ago","The location is great, It has a lot of free space inside to play cricket or football. Once you reach the mumbai university exam centre you have to take an admission pass to enter inside you have to show your ID card during entry. The staff doesnt know what they are doing.","","","Like","1","","Share","",""
"https://lh3.googleusercontent.com/a/ACg8ocI-XOXVK51RXr2GcqgvYk0LtMbmFJwiMA9gKGpdx2Nc=w54-h54-p-rp-mo-br100","ajinkya jorwekar","1 review","","","6 years ago","It is one of the oldest and worst university in india. Management is very bad. And they don't have care of their students. It takes toooo much time for the results and paper checking is also doubtful every time. I am student of  engineering …","More","","Like","3","","Share","",""
"https://lh3.googleusercontent.com/a/ACg8ocLTJNlhwWI19LKvS4CSe_Ue6DtMLRkoSxJr9ESwzOdQ=w54-h54-p-rp-mo-br100","Parul Mahajan","18 reviews","","","a year ago","University of mumbai is very well maintained and one of the best universities in Maharashtra.","","","Like","1","","Share","",""
"https://lh3.googleusercontent.com/a-/ALV-UjUnSH04oQiMYvMpUGyYUPgJKmFyMGIe3ETap4MEcKoacg=w54-h54-p-rp-mo-ba4-br100","Sanket Thakur","Local Guide · 10 reviews · 140 photos","","","6 years ago","Worst University ever, Management is the worst, No system of managing work distribution, Always delays in Results, and even after delays they don't check paper properly, fail students on purpose and then in revaluation suddenly there's …","More","","Like","9","","Share","",""
"https://lh3.googleusercontent.com/a-/ALV-UjXnqUTcYymV_AhMTJj7sMuvjV3ekOgZIiVBbR8g5YFwpRDG=w54-h54-p-rp-mo-br100","Ashley Joney","12 reviews · 1 photo","","","5 years ago","At first they don't display revaluation results on time because some of the students lost their one year and they had to miss their higher studies but some lose their jobs because of that.Still waiting for my revaluation results but no …","More","","Like","8","","Share","",""
"https://lh3.googleusercontent.com/a-/ALV-UjVZ2EjxigTkcig4_8W3i28f8GX6XEvigPpBycXljQt7vJs=w54-h54-p-rp-mo-ba3-br100","Rajanish","Local Guide · 33 reviews · 79 photos","","","6 years ago","this institute is the only platform for law students to learn the basics,the goal ,in simple word if i say it will help you to learn every basic points, how lawyers win his case in court, even though it gives you respect that you need. i am …","More","","Like","3","","Share","",""
"https://lh3.googleusercontent.com/a-/ALV-UjUAjtA-Lqdcue1ga943wJI8k5tcQ_vjl1fnMAbKWol17go=w54-h54-p-rp-mo-ba4-br100","Prakash Vaishnav","Local Guide · 64 reviews · 63 photos","","","2 years ago","I am pass out the degree here but I think the staff will be so lazy not answering the call not a great service about student in lockdown also and now also just then svjc and TY BCom will be form will be releasable release to University but …","More","","Like","2","","Share","",""
"https://lh3.googleusercontent.com/a-/ALV-UjWmYJ5NRW5f3K2G3acHAzPusGscGvOnDsywZgQGaoYn-Qk=w54-h54-p-rp-mo-br100","Rajendra Pawar","398 reviews","","","4 years ago","The University of Mumbai (also known by its former name University of Bombay, the official name until 1997, or Bombay University), informally known as (MU), is one of the earliest state universities in India and the oldest in Maharashtra. …","More","","Like","1","","Share","",""
"https://lh3.googleusercontent.com/a-/ALV-UjV3ooeAytCYKVX60sUcwRin17tefE15189Hv5dwM7G6c9VV=w54-h54-p-rp-mo-br100","Sachin Rajput","7 reviews","","","11 months ago","Good location and very named university, easy to find through google maps.I liked it","","","","","","Share","",""
"https://lh3.googleusercontent.com/a-/ALV-UjUSJ_xQ9ref8FvAFt34RUnyijunJfWVg-b7eqLtq6bEzT1j=w54-h54-p-rp-mo-ba5-br100","Maruf Bhatkar","Local Guide · 212 reviews · 207 photos","","","4 years ago","Fees subject and location is good. But devopment is not modifying still it works like 90s .. no proper website every year you will require to visit related  technical issues …","More","","Like","2","","Share","",""
"https://lh3.googleusercontent.com/a/ACg8ocLejoymSPT2z3RV9la3j5G7YBxBb4AaIkiTPjitGoY=w54-h54-p-rp-mo-br100","Clinton D'souza","4 reviews","","","6 years ago","Joke university, joke colleges, joke syllabus. People who mug up from the Tech Max end up scoring great here. And the re evaluation system is rigged and susceptible to bribery. …","More","","Like","28","","Share","",""
"https://lh3.googleusercontent.com/a-/ALV-UjWGZu-hg_4ZDzGxDeyAPvuoUj5ESALZuZpVRr-FzzWz4dQ=w54-h54-p-rp-mo-ba6-br100","Atul Anand Pandey","Local Guide · 257 reviews · 2,706 photos","","","5 years ago","This area having so many beautiful buildings which having the historical importance. While walking this area it was great experience. It’s nice to see the architecture of the buildings and capture in mobile . The buildings r very nice in architecture and attract. It’s having gardening & trees also .","","","Like","1","","Share","",""
"https://lh3.googleusercontent.com/a/ACg8ocKKdQ4_rbtNtixhxRBS2aV_QorOpjtd1OnWM3_FhAlY=w54-h54-p-rp-mo-br100","Vidit Dedhia","2 reviews","","","6 years ago","Have always had a bad impression of University of Mumbai. Only waste time and poor management but today's experience changed the perspective a bit. Parag Sir from the Commerce Unit at M.J. Phule Bhavan really helped me out as well as other …","More","","Like","1","","Share","",""
"https://lh3.googleusercontent.com/a-/ALV-UjVTNiS40-Pe-98Kr5bKMRIvj-s3io6P0iKb-d059HPaknc=w54-h54-p-rp-mo-ba5-br100","Sanket Worlikar","Local Guide · 156 reviews · 24 photos","","","5 years ago","1) In accordance with ""Wood's despatch"", drafted by Sir Charles Wood in 1854, The University of Bombay was established in 1857 after presentation of a petition from the Bombay Association to the British colonial government in India.[5] The …","More","","","","","Share","",""
"https://lh3.googleusercontent.com/a-/ALV-UjUBJNdLyMlZJ2-cH_mySpGBnOBZc6oBoSYjDk0Jnyf3PH0=w54-h54-p-rp-mo-ba3-br100","Amey Sawant","Local Guide · 25 reviews · 42 photos","","","6 years ago","The place has a vast campus area of 230 acres. Many old and new buildings are placed at this very place. The infrastructure of the newer buildings is state-of-the-art and built with keeping the future in mind. All offices are closed on 2nd and 4th Saturdays and Bank Holidays.","","","Like","1","","Share","",""
"https://lh3.googleusercontent.com/a-/ALV-UjUbUgXErFd-MPzgmOeeKtsvF5SvXb-xhGTKuWFZL7beda4=w54-h54-p-rp-mo-ba5-br100","Yogesh Tiwari (aatish)","Local Guide · 219 reviews · 400 photos","","","5 years ago","The profile of this University carved out in 161 years of its functioning attests to its manifold achievements as the intellectual and moral powerhouse of the society. The University has always given its best to the country in general and …","More","","","","","Share","",""
"https://lh3.googleusercontent.com/a-/ALV-UjX68q-y8V01ZfIVea1sbzTBr4_NHC4exEqganBS5upsWt0=w54-h54-p-rp-mo-ba2-br100","vshnv_c","Local Guide · 5 reviews · 7 photos","","","4 years ago","The Shittiest and the most Disorganized University ever. Lost my Two sems results and documents. The people who run this university are probably more competent than my college's peon. Incompetent and the most disgusting organisation ever. …","More","","Like","17","","Share","",""
"https://lh3.googleusercontent.com/a/ACg8ocIvamp-PX8qVJYhzsATeHLoTcgrUbthEGzjeU-mVDQ=w54-h54-p-rp-mo-br100","Sanjay Singh","4 reviews","","","a year ago","One of Oldest and premier institutions in the country. Excellent faculty, and plenty of opportunities to make one’s career .","","","","","","Share","",""
"https://lh3.googleusercontent.com/a-/ALV-UjWRGa9Er51dB10FH4B3nCKvRWXh1OvVTas67ULUbOqdiHw=w54-h54-p-rp-mo-ba3-br100","Shreya V Rao","Local Guide · 47 reviews · 7 photos","","","5 years ago","That staff are lethargic and so full of attitude they don't even reply properly. They're pretty rude and for some reason they don't think you deserve their one minute of time and a proper reply. The time tables are always changed, the paper …","More","","Like","6","","Share","",""
"https://lh3.googleusercontent.com/a-/ALV-UjVWY_ymLRroUaxYJFZFcSrrM1Tp55VPTiAvQtOXc5J-8I4=w54-h54-p-rp-mo-br100","Steffy Thomas","9 reviews · 1 photo","","","4 years ago","Dint really feel like giving that one star too. The most disgusting place I've ever been. What's the use of having such a huge place and officials with no brains. It is a real shame for Mumbai to have such a terrible university. Disappointment to an another level!!!!","","","Like","9","","Share","",""
"https://lh3.googleusercontent.com/a-/ALV-UjWAk25B1Hr_ebw95vXAYt71XaoIKpSWhnYHtsYFNqB-EwY=w54-h54-p-rp-mo-ba3-br100","Amod Shankar","Local Guide · 63 reviews · 19 photos","","","a year ago","This best University in mumbai , world class library system , teaching on laptops.","","","","","","Share","",""
"https://lh3.googleusercontent.com/a-/ALV-UjW_wN6eW86b1VpkETeNHKuUZFCtOPsooRI-7T-0wcMgkbk=w54-h54-p-rp-mo-br100","Naman Vashisth","22 reviews","","","a year ago","University of Mumbai campus is very good and it's look like University of London by architecture","","","","","","Share","",""
"https://lh3.googleusercontent.com/a-/ALV-UjWgjqdVjl3cmEZ1UabOBHkH6yN0r6if6BE-8z0jovsYMjea=w54-h54-p-rp-mo-ba2-br100","Nirmala Surappagoudra","Local Guide · 21 reviews · 2 photos","","","a year ago","The university of Mumbai gives excellent teaching and support students for the studies and curricular","","","","","","Share","",""
