"NBa7we src","d4r55","RfnDt","eaLgGf","hCCjke","rsqaWe","wiI7pd","w8nwRe","dSlJg","Hzvxle","pkWtMe","dSlJg 2","znYl0","uEubGf","bC3Nkc"
"https://lh3.googleusercontent.com/a-/ALV-UjXcWAabYpO6siQBH4WYeMPt5qmj2lkhGOimqrlWA3is_cY=w54-h54-p-rp-mo-ba4-br100","Samee Khan","Local Guide · 128 reviews · 5 photos","","","4 months ago","My experience with Mumbai University was profoundly frustrating. I took my last year BMS examination in December 2020, and while the result notice in April indicated a pass, my result was inexplicably on hold with the remarks ""Passed RLE."" …","More","","Like","9","","Share","",""
"https://lh3.googleusercontent.com/a-/ALV-UjWerjVTq5kW5sL5GFY67j26Zo2PnH1RrIeYj8cdMaMUryEN=w54-h54-p-rp-mo-ba5-br100","Saurabh Gada","Local Guide · 173 reviews · 959 photos","","","4 years ago","This is the old campus of the University, which is now used mainly for administrative purposes. Gothic architecture of the buildings in the campus is a sight to behold, especially in a landscape that is dotted with similar iconic structures …","More","","","","","Share","",""
"https://lh3.googleusercontent.com/a/ACg8ocJTZsKG2sbGsWsPEG38Lto_M2wLhkmSkz6aWbK6aFIV=w54-h54-p-rp-mo-ba6-br100","Aayushi Parikh","Local Guide · 157 reviews · 1,531 photos","","","4 years ago","What should I say about MU. It's getting worst day by day. They will never solve your answer and forget about the calls. I have seen that they just kept receiver's aside. Whenever you try to contact lines are busy. They don't have manners. …","More","","Like","31","","Share","",""
"https://lh3.googleusercontent.com/a-/ALV-UjXkYlrnBI16zW6NxVzc75FvSVh2Dl80D3iaAzVkjDrQQM0v=w54-h54-p-rp-mo-ba5-br100","vinayak pawar","Local Guide · 114 reviews · 1,180 photos","","","3 years ago","Mumbai University fort campus is located opposite to ovel maiden and near to the charchaget station and Chatrapati Shivaji Maharaj terminals.mumbai University is oldest University in the world.all the department are available in this …","More","","Like","4","","Share","",""
"https://lh3.googleusercontent.com/a-/ALV-UjXDAKJAhv_TPMP1C8YYSkg2bc6_HjC6LJnqlsBbww5vqdQ=w54-h54-p-rp-mo-ba4-br100","Nikhil Belure","Local Guide · 112 reviews · 276 photos","","","5 years ago","Good campus and maintained that well , more sign boards need to be put on because everyday you can find people asking addresses. Nice place to live in hostel but food options are very less. Two gates (BKC 7pm and Grand Hyatt 8pm ) close in …","More","","","","","Share","",""
"https://lh3.googleusercontent.com/a-/ALV-UjXhonWnyeAymnuyOJmJXdknKck4yN4ilYdSz1JF7ujrYxEB=w54-h54-p-rp-mo-ba4-br100","Sanat Parmar","Local Guide · 65 reviews · 182 photos","","","4 years ago","If you want to check out for the most inefficient and defunct educational institutions, you must head out for Mumbai University. Even a simple process of form submission will easily consume your entire day , and moreso, there will be a line …","More","","Like","18","","Share","",""
"https://lh3.googleusercontent.com/a-/ALV-UjW9R6Bqg5bXOUkO7cxSlRi7INrNy4TIronOypJezhLFZSia=w54-h54-p-rp-mo-ba5-br100","Chintan Shah","Local Guide · 154 reviews · 554 photos","","","5 years ago","One of the best grade 'A' heritage buildings here in Mumbai's fort area. The building represents gothic architectural style and also has a watch tower called as Rajabai clock tower. The university building hosts education department. …","More","","Like","1","","Share","",""
"https://lh3.googleusercontent.com/a-/ALV-UjV4FXUVtSnrywGOcGsySmynyBBXr9Xh3Sv5Yj3g-aYBfo4J=w54-h54-p-rp-mo-ba5-br100","Krishna Nikumbh","Local Guide · 243 reviews · 91 photos","","","2 months ago","One of the oldest University located in Mumbai. Great place to learn. Heritage structure. Rich history.","","","","","","Share","",""
"https://lh3.googleusercontent.com/a-/ALV-UjWPum8-7KzSbVyL6TArc2bG60eGouOCru8mi1eAEmsP2L01=w54-h54-p-rp-mo-ba6-br100","syam k ravindran","Local Guide · 160 reviews · 1,974 photos","","","4 years ago","I went there for getting the syllabus copy.... So you are supposed to go to publication department in the ground floor.. However if they do not have copies of the syllabus you needn't worry,  as they keep one original copy of every year and …","More","","Like","3","","Share","",""
"https://lh3.googleusercontent.com/a-/ALV-UjUl3cMtso8QNvwF36fSmiOy8SgcAMKXl__IM6_6GiQDKw=w54-h54-p-rp-mo-ba4-br100","sabar hussain","Local Guide · 29 reviews · 27 photos","","","4 years ago","Nice to have a good time to go to the hospital for a interview at the moment you realize that I have no idea what to do that for a while 🔙 and forth with the family and friends and family and I don't want to go 🔙 to work on the way you are …","More","","Like","2","","Share","",""
"https://lh3.googleusercontent.com/a-/ALV-UjWTSGeHEKPFMI4VmH0s86ZRc3rzxuJfFifPyfQdsyB2Jn8=w54-h54-p-rp-mo-ba4-br100","Aniket Manjare","Local Guide · 67 reviews · 168 photos","","","6 years ago","Great place with old architecture of stones.
Surrounded by the trees.
The University of Mumbai offers Bachelors, Masters and Doctoral courses, as well …","More","","Like","4","","Share","",""
"https://lh3.googleusercontent.com/a-/ALV-UjVkgPsvmxuLW_1_hu7Xhw9viEq9pz0Qb3LtvYDTj3hfKbk=w54-h54-p-rp-mo-ba6-br100","Husain Arsiwala","Local Guide · 349 reviews · 2,102 photos","","","6 years ago","Sharing Rickshaw from Santacruz station in ₹15 is available. The Rickshaw guys will loot you if you are new try to be smart & effective. If possible come out on the main road and catch a bus. Private vehicle is highly recommended. The …","More","","Like","26","","Share","",""
"https://lh3.googleusercontent.com/a-/ALV-UjVvlt0YTyY5-3qnnKz6C58AcXx-MyLtrXtIz_56bM5DAg=w54-h54-p-rp-mo-br100","YASH RAMGUDE","1 review","","","5 months ago","Plz plz plz work on your staff
Worst worst worst !!!!!!!!! Mumbai University is delaying students for their results & exam. Pls declare the result of revaluation paper.","","","Like","6","","Share","",""
"https://lh3.googleusercontent.com/a-/ALV-UjXFDqEWTOeO4LaFLJ5d44EtZD3pKxk6zYaZJ_DBfqoepb0=w54-h54-p-rp-mo-ba4-br100","Mayuresh Firame","Local Guide · 52 reviews · 169 photos","","","a year ago","The University of Mumbai is one of the oldest and premier Universities of India. I am honoured and greatly privileged to lead this great Institution; and continue to address the imminent challenges and to harness theovert and covert …","More","","Like","11","","Share","",""
"https://lh3.googleusercontent.com/a-/ALV-UjU8j1RsDx9irIgtKCWTBCNE5FkY1Tl36_HWPuukjXe2Rjz9=w54-h54-p-rp-mo-ba6-br100","Ishwardas Tatipamula","Local Guide · 521 reviews · 5,100 photos","","","4 years ago","Mumbai University is one of best university. I completed my Msc from Mumbai University. This building is the iconic building. Near by university ""The Institute of Science"" college is there for Msc courses.","","","Like","2","","Share","",""
